Code,Name,Market
04338,Microsoft Corp,HKEX
00700,Tencent Holdings Ltd,HKEX
80700,Tencent Holdings Ltd,HKEX
04333,Cisco Systems Inc,HKEX
00005,HSBC Holdings PLC,HKEX
00939,China Construction Bank Corp Class H,HKEX
09988,Alibaba Group Holding Ltd,HKEX
00941,China Mobile Ltd,HKEX
89988,Alibaba Group Holding Ltd,HKEX
04335,Intel Corp,HKEX
80941,China Mobile Ltd,HKEX
04336,Applied Materials Inc,HKEX
06288,Fast Retailing Co Ltd DRC,HKEX
04332,Amgen Inc,HKEX
00883,CNOOC Ltd,HKEX
02513,Knowledge Atlas Technology JSC Ltd Class H,HKEX
80883,CNOOC Ltd,HKEX
01299,AIA Group Ltd,HKEX
81299,AIA Group Ltd,HKEX
09999,NetEase Inc,HKEX
01398,Industrial and Commercial Bank of China Ltd Class H,HKEX
01810,Xiaomi Corp,HKEX
00945,Manulife Financial Corp,HKEX
81810,Xiaomi Corp,HKEX
09633,Nongfu Spring Co Ltd Class H,HKEX
00981,Semiconductor Manufacturing International Corp,HKEX
00388,Hong Kong Exchanges and Clearing Ltd,HKEX
02388,BOC Hong Kong Holdings Ltd,HKEX
02888,Standard Chartered PLC,HKEX
03988,Bank of China Ltd Class H,HKEX
03690,Meituan,HKEX
80388,Hong Kong Exchanges and Clearing Ltd,HKEX
82388,BOC Hong Kong Holdings Ltd,HKEX
02318,Ping An Insurance (Group) Co of China Ltd Class H,HKEX
83690,Meituan,HKEX
00267,CITIC Ltd,HKEX
82318,Ping An Insurance (Group) Co of China Ltd Class H,HKEX
00016,Sun Hung Kai Properties Ltd,HKEX
02328,PICC Property and Casualty Co Ltd Class H,HKEX
80016,Sun Hung Kai Properties Ltd,HKEX
09888,Baidu Inc Class A,HKEX
01888,Kingboard Laminates Holdings Ltd,HKEX
09618,JD.com Inc Class A,HKEX
01211,BYD Co Ltd Class H,HKEX
01347,Hua Hong Grace Semiconductor Ltd,HKEX
00992,Lenovo Group Ltd,HKEX
02378,Prudential PLC,HKEX
00001,Ck Hutchison Holdings Ltd,HKEX
02259,Zijin Gold International Co Ltd,HKEX
06160,BeOne Medicines AG,HKEX
89888,Baidu Inc Class A,HKEX
89618,JD.com Inc Class A,HKEX
03328,Bank of Communications Co Ltd Class H,HKEX
81211,BYD Co Ltd Class H,HKEX
00669,Techtronic Industries Co Ltd,HKEX
80992,Lenovo Group Ltd,HKEX
01109,China Resources Land Ltd,HKEX
09992,Pop Mart International Group Ltd,HKEX
03968,China Merchants Bank Co Ltd Class H,HKEX
