Code,Name,Market
285A,Kioxia Holdings Corp,TSE
7203,Toyota Motor Corp,TSE
8306,Mitsubishi UFJ Financial Group Inc,TSE
8035,Tokyo Electron Ltd,TSE
9984,SoftBank Group Corp,TSE
9983,Fast Retailing Co Ltd,TSE
8316,Sumitomo Mitsui Financial Group  Inc,TSE
6857,Advantest Corp,TSE
6981,Murata Manufacturing Co Ltd,TSE
6501,Hitachi Ltd,TSE
6758,Sony Group Corp,TSE
6861,Keyence Corp,TSE
8411,Mizuho Financial Group Inc,TSE
6098,Recruit Holdings Co Ltd,TSE
8058,Mitsubishi Corp,TSE
8001,Itochu Corp,TSE
8766,Tokio Marine Holdings Inc,TSE
4063,Shin-Etsu Chemical Co Ltd,TSE
9432,NTT Inc,TSE
8031,Mitsui & Co Ltd,TSE
4519,Chugai Pharmaceutical Co Ltd,TSE
7011,Mitsubishi Heavy Industries Ltd,TSE
6503,Mitsubishi Electric Corp,TSE
2914,Japan Tobacco Inc,TSE
7182,Japan Post Bank Co Ltd,TSE
9433,KDDI Corp,TSE
6752,Panasonic Holdings Corp,TSE
5803,Fujikura Ltd,TSE
9434,SoftBank Corp,TSE
7974,Nintendo Co Ltd,TSE
6723,Renesas Electronics Corp,TSE
7741,Hoya Corp,TSE
6146,Disco Corp,TSE
4502,Takeda Pharmaceutical Co Ltd,TSE
8002,Marubeni Corp,TSE
6367,Daikin Industries Ltd,TSE
6762,TDK Corp,TSE
8591,ORIX Corp,TSE
6954,Fanuc Corp,TSE
7267,Honda Motor Co Ltd,TSE
4062,Ibiden Co Ltd,TSE
8725,MS&AD Insurance Group Holdings Inc,TSE
8015,Toyota Tsusho Corp,TSE
8750,Daiichi Life Group Inc,TSE
6178,Japan Post Holdings Co Ltd,TSE
4578,Otsuka Holdings Co.  Ltd,TSE
6301,Komatsu Ltd,TSE
8630,Sompo Holdings Inc,TSE
6702,Fujitsu Ltd,TSE
2802,Ajinomoto Co Inc,TSE
6701,NEC Corp,TSE
7751,Canon Inc,TSE
6902,Denso Corp,TSE
3382,Seven & i Holdings Co Ltd,TSE
8802,Mitsubishi Estate Co Ltd,TSE
6971,Kyocera Corp,TSE
4568,Daiichi Sankyo Co Ltd,TSE
8308,Resona Holdings Inc,TSE
6920,Lasertec Corp,TSE
5108,Bridgestone Corp,TSE
4661,Oriental Land Co Ltd,TSE
6273,SMC Corp,TSE
8604,Nomura Holdings Inc,TSE
4901,Fujifilm Holdings Corp,TSE
8309,Sumitomo Mitsui Trust Group Inc,TSE
5016,JX Advanced Metals Corp,TSE
1605,Inpex Corp,TSE
8801,Mitsui Fudosan Co Ltd,TSE
4503,Astellas Pharma Inc,TSE
9020,East Japan Railway Co,TSE
7269,Suzuki Motor Corp,TSE
